Feed_inefficiency,Protein_efficiency,Animal_mortality,Fertilizer_use,Land_use,Soy_use,Permanent_grassland,Grazing,Manure_biogas,Renewable_electricity_use,Carbon_footprint
0.811,27.955,3.721,219.895,0.708,3.330,1.007,21.604,0,1,0.909
0.810,29.084,1.642,54.870,0.765,0.921,0.603,11.434,0,0,0.865
0.721,30.796,3.054,163.598,1.167,7.483,1.142,22.041,0,1,0.914
0.783,30.927,6.300,194.759,0.625,0.578,0.540,23.639,0,0,0.888
0.731,34.249,5.898,97.529,1.573,1.523,0.491,16.305,0,0,0.894
0.890,30.071,3.170,66.823,2.368,0.400,0.438,6.338,1,1,0.921
0.737,34.367,2.856,297.968,0.612,10.094,0.325,0.000,0,0,0.896
0.760,30.185,2.523,197.188,0.733,0.402,1.451,22.590,0,0,0.897
0.779,35.224,4.588,104.677,0.941,3.083,0.639,4.994,0,0,0.863
0.887,35.263,3.325,103.091,1.178,3.045,0.412,9.753,0,1,0.900
0.763,30.234,1.487,347.893,0.664,0.410,2.016,31.902,0,0,0.925
0.901,34.960,4.200,62.922,1.694,1.503,0.205,1.127,0,1,0.912
0.765,37.516,3.524,117.006,0.816,12.542,0.930,3.692,0,0,0.855
0.766,26.940,0.998,250.407,0.618,0.458,1.094,35.088,0,0,0.916
0.810,33.044,2.912,406.937,0.635,11.425,1.386,38.752,0,1,0.910
0.792,28.724,8.120,245.480,0.643,2.186,0.875,17.274,0,1,0.905
0.880,35.009,5.828,164.069,0.959,0.841,1.154,47.831,0,0,0.907
0.799,32.139,0.000,259.932,0.649,7.106,0.289,23.596,0,0,0.902
0.898,34.510,6.332,76.897,1.812,0.408,1.205,46.612,0,0,0.929
0.905,33.076,5.550,114.582,1.747,0.487,0.217,54.084,0,1,0.954
0.855,35.779,5.425,76.611,2.271,0.968,0.381,8.121,0,1,0.944
0.746,33.652,7.983,97.665,1.876,1.267,1.472,3.172,0,1,0.919
1.007,33.100,2.303,48.130,2.003,0.403,0.285,15.372,0,1,0.938
0.785,32.003,4.063,145.907,0.798,31.087,0.870,3.989,1,1,0.875
0.886,32.470,4.724,167.748,1.095,0.573,0.853,15.662,1,1,0.895
0.781,34.087,2.575,132.577,0.891,4.198,0.360,10.616,0,0,0.878
0.816,33.880,4.882,195.097,0.633,10.743,1.180,2.113,0,1,0.884
